notebookTitle,departmentName
Traditional & Modern Medicine Research Lab,Traditional & Modern Medicine Research Lab
Genomics & Bioinformatics Laboratory,Genomics & Bioinformatics Laboratory
Bioanalytical Laboratory,Bioanalytical Laboratory
Bioequivalence Laboratory,Bioequivalence Laboratory
Immunology Laboratory,Immunology
Pathology Laboratory,Pathology Laboratory
Bacteriology Laboratory,Bacteriology
Malaria and Neglected Tropical Disease (MNTD) Laboratory,Malaria and Neglected Tropical Disease (MNTD) Laboratory
Pharmaceuticals Laboratory,Pharmaceuticals Laboratory
Virology and Vaccine Unit,Virology and Vaccine Unit
Tuberculosis Laboratory,Tuberculosis Laboratory
Medical Laboratory,Medical Laboratory
Biorepository Laboratory,Biorepository Laboratory
